PORT_TYPE,EVSE_ZIP,SESSION_START_DATE,SESSION_START_TIME,SESSION_LENGTH,ENERGY,SUBLAP,LAT,LON
2,12,12/8/13,2:39,3.127504,0.876484132,LAP2,40.666304,-80.69382
3,5,12/19/13,5:27,3.994199,2.349670247,LAP1,40.932256,-80.388139
3,3,12/6/13,20:02,5.698443,2.625330289,LAP1,40.82405,-80.70807
3,12,12/3/13,13:20,9.570696,2.086548459,LAP2,40.666304,-80.69382
1,10,12/6/13,6:03,2.88851,1.939860901,LAP2,40.940856,-80.902297
3,1,12/18/13,3:01,3.021572,2.148621488,LAP1,40.759591,-80.892775
3,9,12/9/13,4:26,5.875533,1.803487785,LAP2,40.605104,-80.061551
3,11,12/6/13,23:09,3.960269,1.33025544,LAP2,40.782878,-80.527821
2,5,12/4/13,21:53,14.32631,2.947208807,LAP1,40.932256,-80.388139
3,13,12/4/13,12:52,2.340868,0.832867513,LAP2,40.697587,-80.44851
3,8,12/11/13,4:42,5.529644,1.630478478,LAP2,41.122195,-80.597651
3,5,12/19/13,2:14,10.179727,2.128913955,LAP1,40.932256,-80.388139
3,12,12/1/13,23:37,3.528834,1.480191873,LAP2,40.666304,-80.69382
3,5,12/8/13,13:29,2.539131,2.157189143,LAP1,40.932256,-80.388139
2,3,12/5/13,19:40,9.827231,3.225321975,LAP1,40.82405,-80.70807
2,4,12/31/13,11:55,1.396546,1.792089552,LAP1,41.237692,-80.129426
2,1,12/15/13,1:10,0.883262,0.857764674,LAP1,40.759591,-80.892775
1,3,12/19/13,20:45,4.664555,2.572884623,LAP1,40.82405,-80.70807
1,14,12/9/13,12:47,3.24512,2.268824974,LAP2,41.141569,-80.833456
2,4,12/25/13,2:06,2.072257,2.21386062,LAP1,41.237692,-80.129426
3,11,12/20/13,13:59,0.469951,1.494795736,LAP2,40.782878,-80.527821
2,10,12/1/13,3:24,2.143945,2.239875111,LAP2,40.940856,-80.902297
3,12,12/22/13,20:30,1.928369,0.757542506,LAP2,40.666304,-80.69382
3,8,12/24/13,20:36,5.667887,1.200747847,LAP2,41.122195,-80.597651
2,6,12/27/13,22:06,6.240378,2.26394072,LAP2,41.088805,-80.651918
2,2,12/19/13,16:35,3.998157,0.856576583,LAP1,40.476938,-80.381297
1,13,12/23/13,3:27,3.396681,1.839409233,LAP2,40.697587,-80.44851
1,14,12/18/13,21:48,3.927643,1.603465329,LAP2,41.141569,-80.833456
1,8,12/15/13,5:51,4.059861,1.92651642,LAP2,41.122195,-80.597651
3,1,12/12/13,12:36,7.985819,3.242591011,LAP1,40.759591,-80.892775
2,1,12/1/13,20:40,0.979038,1.662030001,LAP1,40.759591,-80.892775
3,7,12/29/13,11:54,4.297372,1.948997299,LAP2,41.197179,-80.218578
1,10,12/8/13,8:48,6.400259,1.758756807,LAP2,40.940856,-80.902297
3,7,12/24/13,23:20,12.140098,3.550791236,LAP2,41.197179,-80.218578
3,8,12/30/13,18:44,9.329686,3.042564123,LAP2,41.122195,-80.597651
2,9,12/20/13,23:40,8.882675,3.433851687,LAP2,40.605104,-80.061551
1,9,12/25/13,17:18,7.701156,3.151510205,LAP2,40.605104,-80.061551
3,14,12/27/13,7:50,1.88221,1.302570381,LAP2,41.141569,-80.833456
3,11,12/30/13,10:15,12.77485,2.772580052,LAP2,40.782878,-80.527821
1,10,12/9/13,10:49,4.066544,1.786665387,LAP2,40.940856,-80.902297
3,1,12/14/13,22:43,4.26764,2.118904115,LAP1,40.759591,-80.892775
1,11,12/18/13,11:56,1.9437,1.735703068,LAP2,40.782878,-80.527821
3,6,12/16/13,22:21,5.887961,1.588738771,LAP2,41.088805,-80.651918
3,5,12/13/13,21:30,4.592481,1.854836671,LAP1,40.932256,-80.388139
1,2,12/8/13,5:18,10.89628,3.299667794,LAP1,40.476938,-80.381297
1,14,12/26/13,7:02,3.146986,1.857312021,LAP2,41.141569,-80.833456
2,10,12/14/13,12:34,3.104466,1.625324895,LAP2,40.940856,-80.902297
2,12,12/21/13,21:08,10.825454,2.233885409,LAP2,40.666304,-80.69382
1,8,12/29/13,16:03,9.049898,2.316308174,LAP2,41.122195,-80.597651
2,2,12/5/13,19:06,0.0344,1.552356906,LAP1,40.476938,-80.381297
2,7,12/20/13,11:39,1.76932,0.490127659,LAP2,41.197179,-80.218578
2,3,12/21/13,4:51,3.358677,1.092592657,LAP1,40.82405,-80.70807
3,6,12/8/13,14:44,7.34528,2.759258031,LAP2,41.088805,-80.651918
2,9,12/13/13,21:15,5.891855,2.196364845,LAP2,40.605104,-80.061551
2,4,12/31/13,17:51,7.032944,1.997596809,LAP1,41.237692,-80.129426
1,6,12/24/13,13:28,2.21373,0.498719345,LAP2,41.088805,-80.651918
3,7,12/28/13,22:04,10.839561,2.989337374,LAP2,41.197179,-80.218578
2,3,12/12/13,23:39,5.302788,1.239191383,LAP1,40.82405,-80.70807
2,7,12/1/13,5:13,7.446311,3.015104565,LAP2,41.197179,-80.218578
2,2,12/15/13,8:13,0.203841,1.473196561,LAP1,40.476938,-80.381297
1,1,12/29/13,12:53,3.157669,1.12486033,LAP1,40.759591,-80.892775
3,14,12/20/13,19:37,0.084765,1.138787124,LAP2,41.141569,-80.833456
1,5,12/24/13,15:23,16.312226,3.267028928,LAP1,40.932256,-80.388139
1,2,12/17/13,19:36,4.649653,2.159461583,LAP1,40.476938,-80.381297
3,13,12/27/13,13:48,7.149025,2.542906412,LAP2,40.697587,-80.44851
2,13,12/27/13,6:54,11.047763,3.020992616,LAP2,40.697587,-80.44851
1,3,12/20/13,19:50,2.635529,2.073686165,LAP1,40.82405,-80.70807
2,4,12/9/13,5:03,2.198106,2.047877512,LAP1,41.237692,-80.129426
2,12,12/18/13,6:10,2.070514,0.524327874,LAP2,40.666304,-80.69382
2,6,12/5/13,8:38,11.420937,2.829969776,LAP2,41.088805,-80.651918
2,9,12/4/13,10:07,4.802755,1.467184884,LAP2,40.605104,-80.061551
2,14,12/24/13,11:26,10.493399,2.603918122,LAP2,41.141569,-80.833456
2,4,12/8/13,2:30,7.779752,3.421112452,LAP1,41.237692,-80.129426
3,10,12/15/13,12:46,1.968741,0.990540293,LAP2,40.940856,-80.902297
1,8,12/9/13,21:21,8.775853,2.315296443,LAP2,41.122195,-80.597651
3,12,12/19/13,1:54,3.294628,1.686603541,LAP2,40.666304,-80.69382
1,10,12/28/13,21:01,2.493393,0.965353125,LAP2,40.940856,-80.902297
2,9,12/15/13,4:10,12.429656,4.351157884,LAP2,40.605104,-80.061551
1,5,12/11/13,9:36,6.534297,3.244742362,LAP1,40.932256,-80.388139
3,3,12/24/13,17:57,2.797323,0.715984812,LAP1,40.82405,-80.70807
3,14,12/6/13,13:23,1.296337,2.145752936,LAP2,41.141569,-80.833456
2,11,12/12/13,10:59,7.963263,2.932117269,LAP2,40.782878,-80.527821
2,3,12/9/13,4:37,2.488359,1.507154249,LAP1,40.82405,-80.70807
3,2,12/21/13,14:31,0.866649,2.016561205,LAP1,40.476938,-80.381297
3,9,12/11/13,12:15,4.124524,1.618346886,LAP2,40.605104,-80.061551
1,5,12/11/13,12:33,1.575162,2.21749597,LAP1,40.932256,-80.388139
3,11,12/3/13,3:10,0.509068,1.884257839,LAP2,40.782878,-80.527821
2,9,12/13/13,19:46,4.597635,1.330983461,LAP2,40.605104,-80.061551
1,10,12/1/13,8:47,12.264537,4.140663879,LAP2,40.940856,-80.902297
2,9,12/3/13,11:06,1.062722,1.779149648,LAP2,40.605104,-80.061551
1,4,12/3/13,8:32,0.449542,0.444752751,LAP1,41.237692,-80.129426
3,5,12/13/13,3:46,1.375932,0.615724875,LAP1,40.932256,-80.388139
2,6,12/24/13,23:07,6.709111,3.207307234,LAP2,41.088805,-80.651918
2,14,12/6/13,5:38,0.715394,1.701035603,LAP2,41.141569,-80.833456
3,5,12/21/13,9:04,1.34222,1.432763153,LAP1,40.932256,-80.388139
2,9,12/14/13,20:00,7.976985,3.244386312,LAP2,40.605104,-80.061551
2,7,12/14/13,12:38,2.124403,1.310207719,LAP2,41.197179,-80.218578
3,12,12/16/13,21:27,5.10488,2.403869384,LAP2,40.666304,-80.69382
1,5,12/10/13,1:07,2.459795,1.788149967,LAP1,40.932256,-80.388139
3,14,12/6/13,10:42,13.199805,3.848654599,LAP2,41.141569,-80.833456
3,1,12/16/13,8:30,3.244887,1.607562728,LAP1,40.759591,-80.892775
2,1,12/5/13,8:43,6.28048,2.74592471,LAP1,40.759591,-80.892775
3,9,12/14/13,9:29,2.108511,1.217434863,LAP2,40.605104,-80.061551
2,4,12/10/13,7:31,7.666309,1.901493044,LAP1,41.237692,-80.129426
1,14,12/2/13,3:31,4.351995,2.743059238,LAP2,41.141569,-80.833456
1,8,12/21/13,12:17,17.933242,4.584317629,LAP2,41.122195,-80.597651
3,13,12/6/13,3:55,6.521585,2.455975616,LAP2,40.697587,-80.44851
2,4,12/7/13,22:05,12.615946,3.458795232,LAP1,41.237692,-80.129426
3,2,12/30/13,6:00,9.366499,2.860418684,LAP1,40.476938,-80.381297
3,12,12/11/13,18:40,3.288473,1.548106381,LAP2,40.666304,-80.69382
3,14,12/2/13,17:28,2.089364,1.68966473,LAP2,41.141569,-80.833456
3,9,12/30/13,7:46,14.329649,3.220757414,LAP2,40.605104,-80.061551
3,3,12/29/13,15:06,3.046773,1.466386838,LAP1,40.82405,-80.70807
1,1,12/28/13,11:12,7.536775,1.541498194,LAP1,40.759591,-80.892775
1,10,12/22/13,10:07,0.205343,1.941654413,LAP2,40.940856,-80.902297
3,8,12/10/13,23:42,3.549211,1.409146371,LAP2,41.122195,-80.597651
2,1,12/15/13,8:34,0.615663,1.162632927,LAP1,40.759591,-80.892775
1,2,12/8/13,23:07,6.450061,2.390522497,LAP1,40.476938,-80.381297
2,5,12/24/13,3:55,8.847962,1.864565965,LAP1,40.932256,-80.388139
1,11,12/19/13,1:16,1.722813,1.534940371,LAP2,40.782878,-80.527821
2,8,12/4/13,12:06,7.953283,3.019510866,LAP2,41.122195,-80.597651
1,6,12/25/13,16:48,4.417147,2.39648564,LAP2,41.088805,-80.651918
1,9,12/24/13,12:52,2.610053,1.709972142,LAP2,40.605104,-80.061551
3,9,12/24/13,9:21,11.375893,2.316304563,LAP2,40.605104,-80.061551
3,6,12/29/13,21:00,3.164385,2.411532641,LAP2,41.088805,-80.651918
3,1,12/30/13,12:39,6.964067,2.738817542,LAP1,40.759591,-80.892775
3,7,12/9/13,2:58,8.630116,3.285096238,LAP2,41.197179,-80.218578
2,11,12/15/13,11:16,10.81585,2.961385274,LAP2,40.782878,-80.527821
2,2,12/21/13,23:04,5.782619,2.419986048,LAP1,40.476938,-80.381297
2,6,12/6/13,21:37,3.570276,1.655243561,LAP2,41.088805,-80.651918
1,2,12/10/13,15:18,1.651933,1.816199531,LAP1,40.476938,-80.381297
1,4,12/17/13,12:18,5.534665,2.500201963,LAP1,41.237692,-80.129426
2,3,12/6/13,5:36,7.394741,3.412898653,LAP1,40.82405,-80.70807
3,6,12/5/13,8:27,5.105856,2.695628076,LAP2,41.088805,-80.651918
1,3,12/17/13,17:52,8.934677,3.014015121,LAP1,40.82405,-80.70807
3,13,12/25/13,6:53,0.872737,0.739463875,LAP2,40.697587,-80.44851
2,13,12/11/13,11:58,9.52387,2.104794539,LAP2,40.697587,-80.44851
1,6,12/23/13,20:41,4.236031,1.438500064,LAP2,41.088805,-80.651918
1,10,12/26/13,2:37,6.222731,2.766335328,LAP2,40.940856,-80.902297
1,12,12/18/13,4:09,1.596957,0.635973517,LAP2,40.666304,-80.69382
3,5,12/29/13,8:06,3.561086,1.937883853,LAP1,40.932256,-80.388139
3,6,12/10/13,12:03,6.792722,3.3275378,LAP2,41.088805,-80.651918
1,3,12/12/13,8:53,6.512285,2.650598211,LAP1,40.82405,-80.70807
1,6,12/15/13,19:41,2.495167,0.716961248,LAP2,41.088805,-80.651918
1,14,12/10/13,9:10,0.716899,0.203880012,LAP2,41.141569,-80.833456
3,4,12/2/13,12:41,2.42162,1.424227143,LAP1,41.237692,-80.129426
2,5,12/21/13,1:00,1.145096,1.773499987,LAP1,40.932256,-80.388139
3,1,12/6/13,2:20,9.928925,3.137157697,LAP1,40.759591,-80.892775
1,9,12/12/13,18:41,11.448524,3.220662955,LAP2,40.605104,-80.061551
1,11,12/5/13,22:34,3.495933,1.45842747,LAP2,40.782878,-80.527821
2,6,12/12/13,9:50,0.351401,1.748036162,LAP2,41.088805,-80.651918
3,3,12/27/13,6:20,8.872714,3.262061187,LAP1,40.82405,-80.70807
3,14,12/16/13,6:41,4.283371,1.699708993,LAP2,41.141569,-80.833456
1,6,12/10/13,7:13,1.146823,0.611533631,LAP2,41.088805,-80.651918
2,14,12/6/13,1:52,2.501458,2.158381679,LAP2,41.141569,-80.833456
2,12,12/26/13,21:15,4.598105,0.993980185,LAP2,40.666304,-80.69382
2,11,12/20/13,14:18,6.231744,1.55152648,LAP2,40.782878,-80.527821
2,1,12/9/13,19:36,5.354915,2.431700722,LAP1,40.759591,-80.892775
3,11,12/19/13,19:34,1.425155,1.452893348,LAP2,40.782878,-80.527821
3,2,12/23/13,8:49,1.901404,0.838595273,LAP1,40.476938,-80.381297
1,5,12/9/13,6:34,0.029141,1.538277552,LAP1,40.932256,-80.388139
2,10,12/16/13,2:03,1.475672,1.51208395,LAP2,40.940856,-80.902297
3,12,12/28/13,8:30,3.916371,2.358942208,LAP2,40.666304,-80.69382
2,1,12/18/13,4:57,0.982237,1.353704832,LAP1,40.759591,-80.892775
1,5,12/8/13,23:04,10.493495,2.456330225,LAP1,40.932256,-80.388139
3,10,12/19/13,8:01,1.112818,1.60059084,LAP2,40.940856,-80.902297
3,14,12/19/13,20:43,3.351962,2.561714293,LAP2,41.141569,-80.833456
3,3,12/6/13,19:16,6.350895,3.079352284,LAP1,40.82405,-80.70807
3,12,12/9/13,8:19,6.285343,2.15290127,LAP2,40.666304,-80.69382
3,11,12/31/13,23:38,5.266719,2.949127088,LAP2,40.782878,-80.527821
1,6,12/31/13,1:12,8.105774,2.010674734,LAP2,41.088805,-80.651918
1,13,12/31/13,21:31,2.954735,1.146285022,LAP2,40.697587,-80.44851
3,1,12/7/13,18:06,11.968971,3.432115624,LAP1,40.759591,-80.892775
1,3,12/17/13,12:31,6.281549,2.669937584,LAP1,40.82405,-80.70807
2,14,12/13/13,19:45,0.669482,0.715044275,LAP2,41.141569,-80.833456
1,10,12/4/13,3:38,2.51187,1.844933176,LAP2,40.940856,-80.902297
1,10,12/18/13,18:57,1.017036,0.308319596,LAP2,40.940856,-80.902297
3,14,12/18/13,2:44,7.940865,2.751286488,LAP2,41.141569,-80.833456
3,11,12/30/13,8:27,12.204141,2.834609412,LAP2,40.782878,-80.527821
1,7,12/6/13,12:40,5.117991,1.118518069,LAP2,41.197179,-80.218578
2,14,12/1/13,20:17,6.449228,2.836189053,LAP2,41.141569,-80.833456
2,11,12/1/13,12:47,4.129096,1.198642865,LAP2,40.782878,-80.527821
3,4,12/16/13,12:51,1.21375,1.847942278,LAP1,41.237692,-80.129426
2,4,12/13/13,6:10,0.667977,0.625773144,LAP1,41.237692,-80.129426
3,5,12/15/13,19:58,8.398925,2.84499542,LAP1,40.932256,-80.388139
1,1,12/25/13,2:21,7.13002,3.399070329,LAP1,40.759591,-80.892775
1,10,12/8/13,7:51,9.934445,3.198246604,LAP2,40.940856,-80.902297
2,1,12/10/13,10:45,5.872513,2.707202613,LAP1,40.759591,-80.892775
3,7,12/1/13,5:02,7.60255,2.226271822,LAP2,41.197179,-80.218578
1,10,12/28/13,20:17,1.826916,1.637636336,LAP2,40.940856,-80.902297
3,4,12/29/13,18:20,5.617512,1.807264075,LAP1,41.237692,-80.129426
3,10,12/20/13,6:33,2.798623,0.820506174,LAP2,40.940856,-80.902297
1,8,12/18/13,11:27,5.214443,1.273616986,LAP2,41.122195,-80.597651
1,14,12/27/13,17:50,3.413364,1.721940891,LAP2,41.141569,-80.833456
3,3,12/9/13,3:36,3.307611,1.370338167,LAP1,40.82405,-80.70807
3,12,12/29/13,17:30,11.708576,4.073405687,LAP2,40.666304,-80.69382
1,8,12/29/13,7:25,2.871963,1.652849854,LAP2,41.122195,-80.597651
1,2,12/20/13,22:57,7.860875,2.905714224,LAP1,40.476938,-80.381297
3,3,12/19/13,4:00,0.810017,2.086095403,LAP1,40.82405,-80.70807
3,3,12/19/13,8:27,9.193542,3.607272333,LAP1,40.82405,-80.70807
3,8,12/8/13,20:28,1.514938,1.326557538,LAP2,41.122195,-80.597651
3,7,12/24/13,3:49,0.528452,1.768637754,LAP2,41.197179,-80.218578
3,12,12/10/13,20:35,4.758066,2.05775507,LAP2,40.666304,-80.69382
2,7,12/7/13,19:50,6.329167,3.199963421,LAP2,41.197179,-80.218578
3,4,12/26/13,21:52,0.474596,1.962107785,LAP1,41.237692,-80.129426
1,14,12/12/13,9:16,8.268546,3.086268136,LAP2,41.141569,-80.833456
2,3,12/9/13,12:15,13.612015,3.177869149,LAP1,40.82405,-80.70807
3,12,12/18/13,3:26,6.086429,1.497357643,LAP2,40.666304,-80.69382
1,4,12/3/13,15:40,3.818361,0.864956861,LAP1,41.237692,-80.129426
1,14,12/19/13,17:31,5.903821,1.315911347,LAP2,41.141569,-80.833456
2,2,12/24/13,9:23,3.253273,2.217994849,LAP1,40.476938,-80.381297
2,11,12/19/13,6:54,5.465464,2.456820735,LAP2,40.782878,-80.527821
3,8,12/19/13,17:23,14.385441,3.205594611,LAP2,41.122195,-80.597651
2,10,12/26/13,5:10,9.151287,2.920648623,LAP2,40.940856,-80.902297
1,10,12/26/13,5:15,9.086276,2.499133587,LAP2,40.940856,-80.902297
1,8,12/3/13,18:02,4.268947,1.911969039,LAP2,41.122195,-80.597651
2,12,12/5/13,9:55,12.550883,3.338928856,LAP2,40.666304,-80.69382
2,7,12/7/13,9:23,14.52642,4.39228762,LAP2,41.197179,-80.218578
3,2,12/6/13,20:32,1.804682,1.476893149,LAP1,40.476938,-80.381297
1,1,12/7/13,13:55,0.470782,1.001120073,LAP1,40.759591,-80.892775
1,13,12/8/13,23:32,4.548771,1.010732132,LAP2,40.697587,-80.44851
1,9,12/14/13,2:07,3.05182,1.854846753,LAP2,40.605104,-80.061551
1,12,12/17/13,4:10,5.438231,2.842804938,LAP2,40.666304,-80.69382
2,10,12/25/13,4:41,1.073493,1.00016922,LAP2,40.940856,-80.902297
1,10,12/31/13,19:33,1.768273,1.247070469,LAP2,40.940856,-80.902297
1,9,12/17/13,2:19,6.607911,2.684735244,LAP2,40.605104,-80.061551
1,3,12/24/13,5:55,1.577793,1.215689284,LAP1,40.82405,-80.70807
2,6,12/18/13,19:46,10.472618,3.75317324,LAP2,41.088805,-80.651918
1,11,12/29/13,15:17,5.462454,2.529417637,LAP2,40.782878,-80.527821
2,12,12/8/13,12:54,6.569894,2.499906506,LAP2,40.666304,-80.69382
1,4,12/11/13,19:43,6.255705,2.479750399,LAP1,41.237692,-80.129426
2,9,12/25/13,4:11,8.346134,3.59867986,LAP2,40.605104,-80.061551
1,3,12/17/13,15:58,4.602386,2.898243557,LAP1,40.82405,-80.70807
1,1,12/6/13,21:36,7.344038,2.321522204,LAP1,40.759591,-80.892775
3,4,12/22/13,17:04,10.010788,3.772060079,LAP1,41.237692,-80.129426
1,4,12/12/13,4:42,2.306863,1.3482574,LAP1,41.237692,-80.129426
1,8,12/10/13,11:24,4.695734,2.863052695,LAP2,41.122195,-80.597651
2,4,12/27/13,3:04,3.803653,0.97322334,LAP1,41.237692,-80.129426
2,13,12/7/13,11:58,6.234519,2.87657617,LAP2,40.697587,-80.44851
1,13,12/14/13,17:00,0.572149,0.590893675,LAP2,40.697587,-80.44851
2,14,12/23/13,3:21,4.157183,2.69379486,LAP2,41.141569,-80.833456
1,4,12/21/13,19:04,5.986353,2.130952209,LAP1,41.237692,-80.129426
2,2,12/3/13,15:00,13.424188,4.569700557,LAP1,40.476938,-80.381297
3,4,12/25/13,20:04,0.08218,1.049688358,LAP1,41.237692,-80.129426
1,12,12/28/13,18:08,5.461938,1.178235602,LAP2,40.666304,-80.69382
2,4,12/23/13,21:31,3.040132,1.335092482,LAP1,41.237692,-80.129426
1,14,12/21/13,20:28,5.340968,2.290788066,LAP2,41.141569,-80.833456
1,8,12/13/13,3:01,2.530973,1.533298657,LAP2,41.122195,-80.597651
3,8,12/2/13,14:05,9.54273,3.624860105,LAP2,41.122195,-80.597651
1,11,12/26/13,4:05,0.99448,1.35831761,LAP2,40.782878,-80.527821
1,6,12/20/13,18:11,6.239621,2.17235153,LAP2,41.088805,-80.651918
1,5,12/3/13,23:12,1.566415,1.664226558,LAP1,40.932256,-80.388139
1,5,12/8/13,20:25,6.103203,3.016310237,LAP1,40.932256,-80.388139
1,4,12/25/13,9:33,2.989061,1.078602674,LAP1,41.237692,-80.129426
3,5,12/26/13,10:10,2.745645,1.394277936,LAP1,40.932256,-80.388139
3,14,12/4/13,13:49,7.334758,1.85981675,LAP2,41.141569,-80.833456
2,7,12/10/13,23:42,3.564945,1.688265871,LAP2,41.197179,-80.218578
1,8,12/20/13,20:40,0.245652,0.26347488,LAP2,41.122195,-80.597651
2,10,12/29/13,19:58,4.72024,1.989873687,LAP2,40.940856,-80.902297
1,9,12/1/13,5:27,1.436443,1.455569494,LAP2,40.605104,-80.061551
3,11,12/4/13,8:09,2.239501,1.0968674,LAP2,40.782878,-80.527821
2,3,12/26/13,15:10,6.371693,2.309646071,LAP1,40.82405,-80.70807
1,14,12/9/13,1:07,0.21643,1.353629185,LAP2,41.141569,-80.833456
2,10,12/11/13,11:33,1.063365,1.679759077,LAP2,40.940856,-80.902297
2,3,12/7/13,18:54,7.627756,3.21367807,LAP1,40.82405,-80.70807
3,4,12/20/13,17:17,4.340853,2.128132261,LAP1,41.237692,-80.129426
3,2,12/19/13,7:59,1.556096,1.209155187,LAP1,40.476938,-80.381297
